2026-03-22 13:34:58 | INFO | browser_agent.cli | OpenAI model=gpt-5.1-2025-11-13 base_url=https://ru-2.gateway.nekocode.app/alpha/v1
2026-03-22 13:34:58 | DEBUG | asyncio | Using selector: EpollSelector
2026-03-22 13:34:58 | INFO | browser_agent.browser | Launching persistent Chromium context at .browser_profile
2026-03-22 13:35:25 | INFO | browser_agent.tools | TOOL get_current_page_snapshot args={}
2026-03-22 13:35:25 | INFO | browser_agent.tools | TOOL get_current_page_snapshot result={"url":"about:blank","title":"","viewport":{"w":1280,"h":800},"interactive":[],"visible_text":""}
2026-03-22 13:35:25 | DEBUG | browser_agent.openai | OpenAI request: model=gpt-5.1-2025-11-13 messages=2 tools=False
2026-03-22 13:35:25 | DEBUG | httpcore.connection | connect_tcp.started host='ru-2.gateway.nekocode.app' port=443 local_address=None timeout=5.0 socket_options=None
2026-03-22 13:35:25 | DEBUG | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7a788ee244d0>
2026-03-22 13:35:25 | DEBUG | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x7a788e71a550> server_hostname='ru-2.gateway.nekocode.app' timeout=5.0
2026-03-22 13:35:26 | DEBUG | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7a788e57f200>
2026-03-22 13:35:26 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-03-22 13:35:26 | DEBUG | httpcore.http11 | send_request_headers.complete
2026-03-22 13:35:26 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-03-22 13:35:26 | DEBUG | httpcore.http11 | send_request_body.complete
2026-03-22 13:35:26 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
